noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.2,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.56503539 0.46113139 0.45319915 0.44551803 0.43694569 0.41126906
 0.38826185 0.36450248]","[0.0044842  0.00504944 0.005112   0.00519598 0.00531551 0.00551065
 0.00571811 0.00596118]"
correlated,0.24,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.55456084 0.44981021 0.44193008 0.4342994  0.42578338 0.40017841
 0.37723541 0.35354236]","[0.00418562 0.00477956 0.00488083 0.00500052 0.00515739 0.00528214
 0.00542273 0.00559425]"
correlated,0.28,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.54665774 0.44138667 0.43350753 0.42587782 0.41736288 0.39201349
 0.3692995  0.34584295]","[0.00419081 0.0048111  0.00487601 0.00495925 0.0050746  0.00522029
 0.00538468 0.00558491]"
correlated,0.32,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.53925221 0.43327952 0.42553757 0.4180407  0.409674   0.38442626
 0.36180335 0.33844085]","[0.00367917 0.00413816 0.00418098 0.00424754 0.00434955 0.00453545
 0.00473455 0.00496836]"
correlated,0.36,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.53322771 0.42677934 0.41901384 0.41149416 0.40310202 0.37825321
 0.35598776 0.3329944 ]","[0.00410902 0.00477728 0.0048984  0.00503209 0.0051988  0.00536165
 0.0055328  0.00573221]"
correlated,0.5,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.51223068 0.40409712 0.3965552  0.38925204 0.38110153 0.35714757
 0.33568394 0.31351862]","[0.00269977 0.0031056  0.00311929 0.00315602 0.0032233  0.00336811
 0.00353132 0.0037285 ]"
correlated,0.75,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.48147307 0.37135147 0.36418365 0.35724275 0.34949653 0.32722902
 0.30727651 0.28667171]","[0.00246224 0.00284587 0.00292022 0.00301331 0.00313942 0.00319656
 0.00328078 0.00339795]"
correlated,1.0,anisotropic,1.25,0.0,0.25,0.5,0.1,"[0.45691678 0.34575887 0.33903406 0.33252214 0.32525466 0.30438458
 0.28568421 0.26637249]","[0.00204555 0.00239941 0.00244507 0.00250851 0.00259991 0.00267649
 0.00277391 0.00290008]"
correlated,0.05,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.67415924 0.58193069 0.58088724 0.57987682 0.57874917 0.56694586
 0.55636966 0.54544771]","[0.00669194 0.00766566 0.00762418 0.0076112  0.00762846 0.00769074
 0.00778353 0.00791469]"
correlated,0.1,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.64462346 0.54732786 0.54618414 0.54507662 0.5438406  0.53126913
 0.52000462 0.50837186]","[0.00586386 0.00669933 0.00672428 0.00676677 0.00683506 0.00687566
 0.00694018 0.00703392]"
correlated,0.16,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.61420987 0.5103403  0.50913055 0.50795909 0.50665172 0.49361488
 0.48193339 0.46987002]","[0.00521866 0.00606906 0.00611141 0.00617185 0.00626119 0.00636748
 0.00648481 0.00662667]"
correlated,0.2,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.59777741 0.49183252 0.49051621 0.48924156 0.48781903 0.47463978
 0.46283069 0.45063554]","[0.00533698 0.00621568 0.00622324 0.00625325 0.00631268 0.00640189
 0.00650276 0.00662669]"
correlated,0.24,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.5875204  0.48027764 0.47904287 0.47784718 0.47651276 0.46324481
 0.45135623 0.439079  ]","[0.00390086 0.00458381 0.00463548 0.00470644 0.00480881 0.00483183
 0.00487835 0.00495131]"
correlated,0.28,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.57893298 0.47054501 0.46931626 0.4681264  0.4667985  0.45348266
 0.44155118 0.42922963]","[0.0045963  0.00534122 0.00534755 0.00537213 0.00542069 0.00551267
 0.00562179 0.00575939]"
correlated,0.32,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.57098953 0.46169047 0.46045713 0.45926283 0.45792997 0.44463674
 0.43272551 0.42042488]","[0.00389878 0.00448024 0.00457116 0.00467947 0.00482223 0.00483259
 0.00486759 0.0049287 ]"
correlated,0.36,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.56280563 0.45242886 0.45116461 0.44994039 0.44857412 0.43533962
 0.42348102 0.41123473]","[0.00340552 0.00410442 0.00414399 0.00420346 0.00429335 0.00428817
 0.00430464 0.00434233]"
correlated,0.5,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.5390296  0.42612807 0.4248913  0.42369369 0.42235712 0.40925218
 0.39750967 0.38538328]","[0.00284987 0.00328935 0.00331706 0.00337091 0.00346083 0.00350231
 0.00356717 0.00366012]"
correlated,0.75,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.50334175 0.38709881 0.38592126 0.38478099 0.38350842 0.37099174
 0.35977634 0.34819428]","[0.0021707  0.00263124 0.00262509 0.00264614 0.00270023 0.00271273
 0.00275508 0.00282829]"
correlated,1.0,anisotropic,1.0,0.0,0.5,0.5,0.1,"[0.47506204 0.35693633 0.35579631 0.35469237 0.35346035 0.34154415
 0.33086678 0.31984035]","[0.00203902 0.00238695 0.00239793 0.00243043 0.00249104 0.00249852
 0.00253232 0.00259302]"
correlated,0.05,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.68369758 0.58011933 0.58446781 0.58867863 0.59337801 0.58871255
 0.58453213 0.58021504]","[0.00850643 0.00955183 0.00958263 0.00963762 0.00972772 0.00963566
 0.00957691 0.00954026]"
correlated,0.1,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.6567063  0.54723572 0.55179141 0.55620288 0.56112619 0.5561517
 0.55169437 0.54709132]","[0.00692494 0.00798821 0.00788696 0.00780898 0.00774598 0.00781606
 0.00790487 0.00802151]"
correlated,0.16,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.62430848 0.50713247 0.51186327 0.51644431 0.52155686 0.51640484
 0.51178844 0.50702112]","[0.00661804 0.00760275 0.00756756 0.0075518  0.00755562 0.00755437
 0.00757635 0.00762176]"
correlated,0.2,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.60743495 0.48757845 0.49248779 0.49724172 0.50254722 0.49725264
 0.49250849 0.48760926]","[0.00553905 0.00650916 0.00654962 0.0066086  0.00669679 0.0066189
 0.00656644 0.00652987]"
correlated,0.24,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.59647673 0.47486757 0.47976823 0.48451376 0.48980989 0.48446364
 0.4796732  0.47472615]","[0.0048321  0.00559928 0.00555933 0.00554021 0.00554182 0.00550433
 0.00549173 0.00549969]"
correlated,0.28,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.58779407 0.4652361  0.47017031 0.47494831 0.48028069 0.47491016
 0.47009796 0.46512845]","[0.00485908 0.00590633 0.00588149 0.00587717 0.00589533 0.00591325
 0.00595233 0.00601506]"
correlated,0.32,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.57958488 0.45598147 0.46091142 0.46568531 0.47101309 0.4656913
 0.46092279 0.45599838]","[0.00424705 0.00511532 0.00504489 0.00499947 0.00497599 0.00500056
 0.00504592 0.00511528]"
correlated,0.36,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.57166256 0.44695868 0.45190265 0.45669011 0.46203304 0.4567036
 0.45192823 0.44699675]","[0.00365024 0.00442013 0.00441187 0.0044266  0.00446916 0.00442352
 0.00440488 0.00440803]"
